analysis_id,verdict,report_role,scientific_rationale,required_action_before_final
C3A_V1,SUPERSEDED,history,"12-participant NIR 动态结果是真实科学中间结果，但已被更大资产状态取代。","标记 SUPERSEDED_INTERMEDIATE，禁止最终引用为 NIR 结论。"
C3A_V2,SUPERSEDED,history,"14-participant/234-probe 结果受当时仅 20 fullclass session 的资产限制，已被 69-session fullclass 状态取代。","标记 SUPERSEDED_INTERMEDIATE，禁止最终引用为 NIR 结论。"
NIR_69,ENGINEERING_ONLY,engineering,"69 个成功 source sessions 的 fullclass 扩展是上游工程完成状态，不等于 final NIR attention increment。","拆名 NIR_FULLCLASS_69_ENGINEERING；输出 QC/schema/provenance，最终统计由 NIR_INCREMENT 独立承担。"
RGB_MOTION,ENGINEERING_ONLY,engineering,"Motion 定义/QC 已有工程价值，但尚无 final Probe-level attention result。","仅作为标准派生生产模块；保留 gap/QC 语义。"
RGB_POSE,ENGINEERING_ONLY,engineering,"Pose pilot 明确当前机位主要可靠肩部结构，仍属工程派生层。","仅作为标准派生生产模块；不得把低可见腕/髋特征当主结果。"
RGB_FACE,ENGINEERING_ONLY,engineering,"Face Py-Feat scientific core 已定义，但 CUDA/DirectML 正式 runner 与 parity 尚未共同冻结。","完成 shared scientific contract、backend provenance、representative parity 后才允许跨机合并。"
D1_HARMONIZATION,REVISE_METHOD,methods_crosssite,"协议 harmonization 是正确的，但旧运行的 blocker 实质是另一块外部存储暂不可访问，不是数据/身份失败。","状态改为 DEFERRED_EXTERNAL_STORAGE_NOT_AVAILABLE；真正 global harmonization 等两侧 derived package 后中央执行。"
NIR_INCREMENT,KEEP_MAIN,final_model,"这是回答 NIR 是否在 C+B 之上增加信息的核心最终分析。","30 s 主窗口，10/60 sensitivity；matched cohort、global participant folds、L2 logistic、paired participant bootstrap ΔAUC。"
RGB_INCREMENT,KEEP_MAIN,final_model,"这是回答 RGB 是否增加信息的核心最终分析。","与 NIR 使用同一标签、窗口、fold contract；exact matched C+B vs C+B+RGB。"
MULTIMODAL_FUSION,KEEP_MAIN,final_model,"最终系统必须检验 NIR+RGB 是否在简单可审计融合下增加预测价值。","主比较在 complete multimodal common cohort 上做 C+B / +N / +R / +N+R；L2 logistic primary，禁止大规模模型搜索。"
CROSS_SITE,KEEP_MAIN,external_validation,"北京/珠海是最终泛化证据；shared-primary protocol 已确认。","区分 pooled grouped-CV 与真正 site-held-out Beijing->Zhuhai；若称 external validation，Zhuhai 不能用于调参。B3 只做 extension。"
