analysis_id,analysis_name,status,local_script,local_input,local_output,local_report_or_manifest,github_report_or_index,github_commit,local_exists,remote_exists,hash_or_content_match,current_conclusion,decision_state,ownership,reconciliation_status,evidence_basis
Q1_QUESTIONNAIRE,Questionnaire criterion validity,REVISE_METHOD,D:\AI-Governance-Work\focuswave-central-mmwave-v2\scripts\build_psychometric_evidence_matrix_v1.py,D:\Project\厚粲杯\11_数据\derived\questionnaire_criterion_validity_v1,D:\Project\厚粲杯\11_数据\derived\questionnaire_criterion_validity_v1,local questionnaire report,docs/canonical/RESULT_INDEX_V1.md,3ee7ecdf6959ab59f674c48567eaf013a2cfe827,TRUE,TRUE,corrected generator and status agree,label semantics corrected; old matrix superseded,active revision,central,MATCHED,canonical generator plus old-result audit
BEHAVIOR_BASELINE,C+B behavior baseline,CANONICAL_BEIJING_REPORT_BASELINE,D:\AI-Governance-Work\focuswave-central-mmwave-v2\pipelines\behavior\run_final_report_cohort_baseline_v2.py,D:\Project\厚粲杯\11_数据\derived\final_report_cohort_baseline_v2,D:\Project\厚粲杯\11_数据\derived\final_report_cohort_baseline_v2,local baseline manifest,docs/canonical/RESULT_INDEX_V1.md,3ee7ecdf6959ab59f674c48567eaf013a2cfe827,TRUE,TRUE,content/status consistent,70/46/1400 anchor,active central,central,MATCHED,registry result index and local existence
EARLY_INCREMENT,Early sensor increment,SUPERSEDED,D:\Project\厚粲杯\08_算法\work\canonical_local_analysis_pipeline_v1\pipelines\mmwave\run_beijing_sensor_increment_v1.py,D:\Project\厚粲杯\11_数据\derived\beijing_sensor_increment_v1,D:\Project\厚粲杯\11_数据\derived\beijing_sensor_increment_v1,local historical report,docs/canonical/ANALYSIS_REGISTRY_V1.csv,3ee7ecdf6959ab59f674c48567eaf013a2cfe827,TRUE,TRUE,marked superseded,not a current result,superseded,central,SUPERSEDED,registry status
C1_ALIGNMENT,HRV C1 alignment,VALIDATION_STOPPED,D:\Project\厚粲杯\08_算法\scripts\repair_c1_alignment_protocol.py,D:\Project\厚粲杯\11_数据\derived\c1_alignment_protocol_repair_v1,D:\Project\厚粲杯\11_数据\derived\c1_alignment_protocol_repair_v1,docs/results/c1_pilot/c1c_run_manifest.json,docs/canonical/RESULT_INDEX_V1.md,3ee7ecdf6959ab59f674c48567eaf013a2cfe827,TRUE,TRUE,content/status consistent,not usable for HRV claim,stopped,central,MATCHED,canonical result index plus manifest
C2B_V2,C2B canonical reconstruction,VALID_SUPPORTING,D:\Project\厚粲杯\08_算法\scripts\run_c2b_v2_canonical_reconstruction.py,D:\Project\厚粲杯\11_数据\derived\c2b_v2_canonical_baselines_20260826,D:\Project\厚粲杯\11_数据\derived\c2b_v2_canonical_baselines_20260826,local C2B report,docs/canonical/RESULT_INDEX_V1.md,3ee7ecdf6959ab59f674c48567eaf013a2cfe827,TRUE,TRUE,canonical entry and local result agree,exploratory supporting only,active supporting,central,MATCHED,canonical pipeline and registry
C2C,C2C within-subject calibration,PENDING_CANONICAL_RERUN,D:\Project\厚粲杯\08_算法\work\canonical_local_analysis_pipeline_v1\pipelines\mmwave\run_c2c_personalized_mmwave_calibration.py,D:\Project\厚粲杯\11_数据\derived\c2c_within_subject_normalization_v1,D:\Project\厚粲杯\11_数据\derived\c2c_within_subject_normalization_v1,local result status report,docs/canonical/ANALYSIS_REGISTRY_V1.csv,3ee7ecdf6959ab59f674c48567eaf013a2cfe827,TRUE,TRUE,script path in old registry is stale; local result not promoted,rerun required,active pending,central,PATH_STALE,registry old entry versus canonical executable
M1,M1 mmWave LOSO,VALID_SUPPORTING,D:\Project\厚粲杯\08_算法\scripts\build_evaluate_j_mmwave_m1_loso.py,D:\Project\厚粲杯\11_数据\derived\m1_mmwave_person_effect_variance_audit_v1,D:\Project\厚粲杯\11_数据\derived\m1_mmwave_person_effect_variance_audit_v1,local M1 report,docs/canonical/RESULT_INDEX_V1.md,3ee7ecdf6959ab59f674c48567eaf013a2cfe827,TRUE,TRUE,content/status consistent,diagnostic/person-effect result,active supporting,central,MATCHED,registry and manager report
C3A_V1,NIR C3A v1, SUPERSEDED_INTERMEDIATE,external NIR runner,D:\Project\厚粲杯\11_数据\01_Attention-Analysis_nvidia-cuda_formal_NIR,D:\Project\厚粲杯\11_数据\01_Attention-Analysis_nvidia-cuda_formal_NIR,producer manifest,docs/canonical/ANALYSIS_REGISTRY_V1.csv,3ee7ecdf6959ab59f674c48567eaf013a2cfe827,TRUE,TRUE,producer manifest only,not final NIR increment,superseded intermediate,producer-owned,PRODUCER_OWNED,registry plus producer boundary
C3A_V2,NIR C3A v2,SUPERSEDED_INTERMEDIATE,external NIR runner,D:\Project\厚粲杯\11_数据\01_Attention-Analysis_nvidia-cuda_formal_NIR,D:\Project\厚粲杯\11_数据\01_Attention-Analysis_nvidia-cuda_formal_NIR,producer manifest,docs/canonical/ANALYSIS_REGISTRY_V1.csv,3ee7ecdf6959ab59f674c48567eaf013a2cfe827,TRUE,TRUE,producer manifest only,not final NIR increment,superseded intermediate,producer-owned,PRODUCER_OWNED,registry plus producer boundary
NIR_FULLCLASS_69_ENGINEERING,NIR completed engineering audit,ENGINEERING_ONLY,external NIR runner,D:\Project\厚粲杯\11_数据\01_Attention-Analysis_nvidia-cuda_formal_NIR,D:\Project\厚粲杯\11_数据\derived\nir_69session_final_probe_analysis_v1,local NIR report/manifest,docs/canonical/RESULT_INDEX_V1.md,3ee7ecdf6959ab59f674c48567eaf013a2cfe827,TRUE,TRUE,producer-side evidence only,engineering boundary; no final increment,active engineering,producer-owned,PRODUCER_OWNED,local manager version plus canonical result index
RGB_MOTION,RGB motion engineering,ENGINEERING_ONLY,external RGB runner,D:\Project\厚粲杯\11_数据\04_Attention-Analysis_nvidia-cuda_RGB,D:\Project\厚粲杯\11_数据\04_Attention-Analysis_nvidia-cuda_RGB,producer report,docs/canonical/ANALYSIS_REGISTRY_V1.csv,3ee7ecdf6959ab59f674c48567eaf013a2cfe827,TRUE,TRUE,producer report only,raw/context engineering only,active engineering,producer-owned,PRODUCER_OWNED,producer ownership and local path check
RGB_POSE,RGB pose engineering,ENGINEERING_ONLY,external RGB runner,D:\Project\厚粲杯\11_数据\04_Attention-Analysis_nvidia-cuda_RGB,D:\Project\厚粲杯\11_数据\04_Attention-Analysis_nvidia-cuda_RGB,producer report,docs/canonical/ANALYSIS_REGISTRY_V1.csv,3ee7ecdf6959ab59f674c48567eaf013a2cfe827,TRUE,TRUE,producer report only,derived features not complete,active engineering,producer-owned,PRODUCER_OWNED,producer registry
RGB_FACE,RGB face engineering,ENGINEERING_ONLY,external RGB runner,D:\Project\厚粲杯\11_数据\04_Attention-Analysis_nvidia-cuda_RGB,D:\Project\厚粲杯\11_数据\04_Attention-Analysis_nvidia-cuda_RGB,producer report,docs/canonical/ANALYSIS_REGISTRY_V1.csv,3ee7ecdf6959ab59f674c48567eaf013a2cfe827,TRUE,TRUE,producer report only,derived features not complete,active engineering,producer-owned,PRODUCER_OWNED,producer registry
D1_HARMONIZATION,Cross-site harmonization,DEFERRED_EXTERNAL_STORAGE_NOT_AVAILABLE,D:\Project\厚粲杯\08_算法\scripts\audit_crossmodal_time_gate.py,D:\Project\厚粲杯\11_数据\derived\beijing_zhuhai_canonical_harmonization_v1,D:\Project\厚粲杯\11_数据\derived\beijing_zhuhai_canonical_harmonization_v1,local harmonization report,docs/canonical/ANALYSIS_REGISTRY_V1.csv,3ee7ecdf6959ab59f674c48567eaf013a2cfe827,TRUE,TRUE,external storage gate remains,deferred; no cross-site claim,active deferred,central,MISSING,registry explicitly says external storage unavailable
NIR_INCREMENT,NIR final increment,PLANNED_GLOBAL_ONLY,not yet stable,D:\Project\厚粲杯\11_数据\01_Attention-Analysis_nvidia-cuda_formal_NIR,D:\Project\厚粲杯\11_数据\derived\nir_69session_final_probe_analysis_v1,producer manifests only,docs/canonical/RESULT_INDEX_V1.md,3ee7ecdf6959ab59f674c48567eaf013a2cfe827,TRUE,TRUE,no final report/result,final increment missing,planned,producer-owned,MISSING,registry planned status
RGB_INCREMENT,RGB final increment,PLANNED_GLOBAL_ONLY,not yet stable,D:\Project\厚粲杯\11_数据\04_Attention-Analysis_nvidia-cuda_RGB,D:\Project\厚粲杯\11_数据\04_Attention-Analysis_nvidia-cuda_RGB,producer engineering status,docs/canonical/RESULT_INDEX_V1.md,3ee7ecdf6959ab59f674c48567eaf013a2cfe827,TRUE,TRUE,no final report/result,derived-window features missing,planned,producer-owned,MISSING,registry planned status
MULTIMODAL_FUSION,Multimodal LOSO,PLANNED_GLOBAL_ONLY,not yet stable,D:\Project\厚粲杯\11_数据\derived\matched_multimodal_inputs,D:\Project\厚粲杯\11_数据\derived\multimodal_loso_final,not generated,docs/canonical/analysis_cards/multimodal_fusion.md,3ee7ecdf6959ab59f674c48567eaf013a2cfe827,FALSE,TRUE,no result,final multimodal LOSO missing,planned,central,MISSING,explicit canonical card and no-result check
CROSS_SITE,Cross-site validation,PLANNED_GLOBAL_ONLY,not yet stable,D:\Project\厚粲杯\11_数据\derived\beijing_zhuhai_canonical_harmonization_v1,D:\Project\厚粲杯\11_数据\derived\cross_site_final,not generated,docs/canonical/ANALYSIS_REGISTRY_V1.csv,3ee7ecdf6959ab59f674c48567eaf013a2cfe827,FALSE,TRUE,no result,cross-site final result missing,planned,central,MISSING,registry planned status
CONTEXT,Context/RGB raw timebase context,ENGINEERING_ONLY,MISSING,D:\Project\厚粲杯\11_数据\derived\current_j_rgb_timebase_audit_v1,D:\Project\厚粲杯\11_数据\derived\current_j_rgb_timebase_audit_v1,local timebase audit,docs/results/rgb_current_status_v1/RGB_CURRENT_STATUS_V1.md,3ee7ecdf6959ab59f674c48567eaf013a2cfe827,FALSE,TRUE,script not found in scoped local roots; report exists,raw/context only,active engineering,producer-owned,MISSING,local manager analysis log plus canonical report
C_PLUS_B,C+B aggregate baseline,CANONICAL_BEIJING_REPORT_BASELINE,D:\AI-Governance-Work\focuswave-central-mmwave-v2\pipelines\behavior\run_final_report_cohort_baseline_v2.py,D:\Project\厚粲杯\11_数据\derived\final_report_cohort_baseline_v2,D:\Project\厚粲杯\11_数据\derived\final_report_cohort_baseline_v2,local baseline report,docs/canonical/RESULT_INDEX_V1.md,3ee7ecdf6959ab59f674c48567eaf013a2cfe827,TRUE,TRUE,content/status consistent,70/46/1400 anchor,active central,central,MATCHED,local manager version record
HR,Heart-rate reference/QC,PARTIAL,D:\Project\厚粲杯\08_算法\scripts\maintenance\run_hr_course_99_corrected.py,D:\Project\厚粲杯\08_算法\output\20_生理金标准验证\2026-08-27_issue15_formal_physiology_run_v1,D:\Project\厚粲杯\08_算法\output\20_生理金标准验证\2026-08-27_issue15_formal_physiology_run_v1,docs/results/mmwave_formal_vital_qc_v1/HR_COURSE_CORRECTED_REPORT_SYNC.md,docs/canonical/RESULT_INDEX_V1.md,3ee7ecdf6959ab59f674c48567eaf013a2cfe827,TRUE,TRUE,report/status consistent,supporting not validated,active supporting,central,MATCHED,canonical result index and QC report
BR,Breath-rate reference/QC,PARTIAL,D:\Project\厚粲杯\08_算法\scripts\maintenance\build_formal_vital_qc_v1.py,D:\Project\厚粲杯\08_算法\output\20_生理金标准验证\2026-08-27_issue15_formal_physiology_run_v1,D:\Project\厚粲杯\08_算法\output\20_生理金标准验证\2026-08-27_issue15_formal_physiology_run_v1,docs/results/mmwave_formal_vital_qc_v1/MMWAVE_FORMAL_VITAL_QC_V1.md,docs/canonical/RESULT_INDEX_V1.md,3ee7ecdf6959ab59f674c48567eaf013a2cfe827,TRUE,TRUE,report/status consistent,supporting/preliminary only,active supporting,central,MATCHED,QC report and manager analysis record
HRV_C1C,C1c mmHRV pilot,VALIDATION_STOPPED,D:\Project\厚粲杯\08_算法\scripts\run_c1c_mmhrv_pilot.py,D:\Project\厚粲杯\11_数据\derived\c1c_mmhrv_pilot_v1,D:\Project\厚粲杯\11_数据\derived\c1c_mmhrv_pilot_v1,docs/results/c1_pilot/C1C_PILOT_REPORT.md,docs/canonical/RESULT_INDEX_V1.md,3ee7ecdf6959ab59f674c48567eaf013a2cfe827,TRUE,TRUE,manifest/metrics/report consistent,no HRV validation claim,stopped,central,MATCHED,C1 manifest report and result index
HRV_C1D,C1d RadarBeat backend pilot,VALIDATION_STOPPED,D:\Project\厚粲杯\08_算法\scripts\run_c1d_radarbeat_backend_pilot.py,D:\Project\厚粲杯\11_数据\derived\c1c_mmhrv_pilot_v1,D:\Project\厚粲杯\11_数据\derived\c1c_mmhrv_pilot_v1,docs/results/c1_pilot/C1D_PILOT_REPORT.md,docs/canonical/RESULT_INDEX_V1.md,3ee7ecdf6959ab59f674c48567eaf013a2cfe827,TRUE,TRUE,decision/report consistent,F1 decreased; stop development,stopped,central,MATCHED,C1d decision JSON and report
FORMAL_PHYSIO_15,Formal physiology/QC #15,PARTIAL,D:\Project\厚粲杯\08_算法\scripts\maintenance\build_formal_vital_qc_v1.py,D:\Project\厚粲杯\08_算法\output\20_生理金标准验证\2026-08-27_issue15_formal_physiology_run_v1,D:\Project\厚粲杯\08_算法\output\20_生理金标准验证\2026-08-27_issue15_formal_physiology_run_v1,docs/results/mmwave_formal_vital_qc_v1/MMWAVE_FORMAL_VITAL_QC_V1_REDACTED_MANIFEST.json,docs/canonical/RESULT_INDEX_V1.md,3ee7ecdf6959ab59f674c48567eaf013a2cfe827,TRUE,TRUE,manifest/report consistent,QC strata not vital use tier,active supporting,central,MATCHED,redacted manifest and manager record
ALERTNESS_16,Task dynamics/alertness #16,PARTIAL,D:\Project\01_管理\04_分析脚本\analyze_J_Data_alertness_events.py,D:\Project\厚粲杯\08_算法\output\40_正式实验\J_Data_ALERTNESS_EVENTS,D:\Project\厚粲杯\08_算法\output\40_正式实验\J_Data_ALERTNESS_EVENTS,docs/results/2026-08-24_J_Data警觉度事件审计_v1,docs/canonical/RESULT_INDEX_V1.md,3ee7ecdf6959ab59f674c48567eaf013a2cfe827,TRUE,TRUE,report/status consistent,auxiliary evidence; HR not FDR-confirmed,active context,central,MATCHED,manager analysis record and migration manifest
MERGE_READINESS_17,Denominator/provenance/merge readiness #17,PARTIAL,D:\Project\厚粲杯\08_算法\scripts\maintenance\build_merge_readiness_20260829.ps1,D:\Project\厚粲杯\08_算法\docs\results\final_merge_readiness_20260829,D:\Project\厚粲杯\08_算法\docs\results\final_merge_readiness_20260829,docs/results/final_merge_readiness_20260829/FINAL_MERGE_READINESS_20260829.md,docs/canonical/RESULT_INDEX_V1.md,3ee7ecdf6959ab59f674c48567eaf013a2cfe827,TRUE,TRUE,report/status consistent,70/46/1400 anchor; 067/099 bounded,active readiness,central,MATCHED,readiness report and availability CSV
TARGET_LOCK,Target-lock audit,CANDIDATE_ONLY,D:\Project\厚粲杯\08_算法\scripts\target_lock\combine_target_lock_gate.py,D:\Project\厚粲杯\11_数据\derived\j_mmwave_target_lock_audit_v1,D:\Project\厚粲杯\11_数据\derived\j_mmwave_target_lock_audit_v1,local target-lock manifest,docs/canonical/RESULT_INDEX_V1.md,3ee7ecdf6959ab59f674c48567eaf013a2cfe827,TRUE,TRUE,report/status consistent,candidate only; no chest-lock confirmation,active candidate,central,MATCHED,target-lock report and local existence
B1_CORRECTED,B1 corrected-distance audit,QC_RERUN,D:\Project\厚粲杯\08_算法\scripts\maintenance\rebuild_readiness_matrices_20260829.py,D:\Project\厚粲杯\08_算法\output\20_生理金标准验证\2026-08-27_issue15_formal_physiology_run_v1,D:\Project\厚粲杯\08_算法\output\20_生理金标准验证\2026-08-27_issue15_formal_physiology_run_v1,docs/results/mmwave_formal_vital_qc_v1/MMWAVE_FORMAL_VITAL_QC_V1_CORRECTED37MM.md,docs/canonical/RESULT_INDEX_V1.md,3ee7ecdf6959ab59f674c48567eaf013a2cfe827,TRUE,TRUE,report/status consistent,tier changes are QC only,active QC,central,MATCHED,corrected report and maintenance entry
B2_EXTREME,B2 extreme-range audit,PRELIMINARY,D:\Project\厚粲杯\08_算法\scripts\maintenance\B2_extreme_range_target_audit_20260829.py,D:\Project\厚粲杯\08_算法\output\40_正式实验\2026-08-29_FORMAL_37mm距离校正审计_v1,D:\Project\厚粲杯\08_算法\output\40_正式实验\2026-08-29_FORMAL_37mm距离校正审计_v1,docs/results/2026-08-29_BR管线与极端距离审计_v1,docs/canonical/RESULT_INDEX_V1.md,3ee7ecdf6959ab59f674c48567eaf013a2cfe827,TRUE,TRUE,report/status consistent,no physiology upgrade,active preliminary,central,MATCHED,report plus local audit record
FRONTEND_TRANSPARENCY,Frontend transparency audit,ENGINEERING_ONLY,D:\Project\厚粲杯\08_算法\work\focuswave_repository_final_clean_clone_3cd3433\docs\reports\mmwave_transparency_audit_20260829\frontend_diagnostic_figures\generate_frontend_diagnostic.py,D:\Project\厚粲杯\08_算法\work\focuswave_repository_final_clean_clone_3cd3433,D:\Project\厚粲杯\08_算法\work\focuswave_repository_final_clean_clone_3cd3433\docs\reports\mmwave_transparency_audit_20260829\frontend_diagnostic_figures\cal_sub2_part001_frontend_audit.png,docs/reports/mmwave_transparency_audit_20260829/FOCUSWAVE_FRONTEND_PIPELINE_AUDIT.md,docs/repository/LOCAL_ANALYSIS_ASSIMILATION_2026-08-29.md,3ee7ecdf6959ab59f674c48567eaf013a2cfe827,TRUE,TRUE,small text/CSV/generator content matched; PNG local-only,engineering transparency only,active supporting,producer-owned,MATCHED,assimilation report and copied content
RS6240_CAPABILITY,RS6240 capability/calibration evidence,PARTIAL,D:\Project\厚粲杯\08_算法\scripts\maintenance\build_mmwave_algorithm_range_gate_audit_v1.py,D:\Project\厚粲杯\08_算法\output\20_生理金标准验证\2026-08-29_RS6240距离与DataCube审计_v1,D:\Project\厚粲杯\08_算法\output\20_生理金标准验证\2026-08-29_RS6240距离与DataCube审计_v1,docs/results/2026-08-29_RS6240距离与DataCube审计_v1,docs/canonical/RESULT_INDEX_V1.md,3ee7ecdf6959ab59f674c48567eaf013a2cfe827,TRUE,TRUE,source/target hashes recorded,capability/QC evidence only,active supporting,central,MATCHED,migration CSV SHA-256 pairs and local output manifest
