file,line_start,line_end,code_operation,stage,input_shape_type,output_shape_type,mathematical_operation,scientific_purpose,literature_support,parameter,parameter_source,empirical_validation,risk_if_omitted,risk_if_duplicated,possible_respiration_attenuation,possible_heartbeat_attenuation,harmonic_risk,bin_hopping_risk,phase_discontinuity_risk,distance_semantics_dependency,status
"process_vital_signs_v3_1_1.py",642,679,"Compare two respiration preprocessing branches and score","respiration extraction","selected BR displacement [time]","BR candidates and selected series [time]","detrend; bandpass or first difference+moving mean; score","Estimate descriptive BR while controlling drift","L1,L4-L5","0.10-0.50 Hz; order 4; moving mean 5","producer constants and code","Internal agreement only; no cohort RSP validation","No drift control increases low-frequency contamination","Repeated difference/filtering attenuates genuine slow respiration","first difference and high-pass effects can attenuate BR","not primary but shared selected trace can affect HR","half-harmonic rule can select wrong BR","segment-wise branch can change target","phase path differs by branch","selected bin comes from distance-gated pool","PROJECT_VARIANT"
"process_vital_signs_v3_1_1.py",397,574,"Generate autocorrelation, SG, and spectral BR candidates","respiration candidate estimation","BR series [time]","candidate BPM values and consistency","autocorrelation; SG peaks; Hann periodogram; half rule","Cross-check time and frequency descriptors","L1,L4-L6","6-30 bpm; proximity 0.08 Hz; half rule thresholds","producer constants and code","No independent RSP agreement in formal cohort","Candidate absence can leave missing BR","peak repair/consensus can duplicate a harmonic","filter/derivative can attenuate slow BR","shared band preprocessing can affect HR","2x/3x relations can invert selected peak","not direct","phase continuity inherited from selected trace","distance selection precedes this stage","HEURISTIC"
"process_vital_signs_v3_1_1.py",273,275,"Apply zero-phase Butterworth bandpass","slow-time filtering","displacement [time]","filtered signal [time]","SOS Butterworth filtfilt","Separate BR or HR frequency bands","L1,L4-L5","order 4; BR 0.10-0.50; HR 0.80-2.00 Hz","producer code","No filter sensitivity validation in this audit","Unfiltered drift/noise contaminates spectral estimates","Applying bandpass twice changes amplitude/edge behavior","BR outside band is removed","HR outside band is removed","respiratory harmonics inside HR band remain","filter does not stabilize bin choice","zero-phase does not repair discontinuity","selected range axis remains upstream dependency","PROJECT_VARIANT"
"process_vital_signs_v3_1_1.py",305,394,"Decompose selected signal with VMD and choose mode","heartbeat separation","selected HR signal [time]","mode and reconstructed HR signal [time]","VMD K modes; select by HR-band power/frequency","Separate mixed slow-time components","L1,L4-L6; method requires validation","K=3; alpha=1000; tol=1e-6","producer constants and code","No independent mode-label validation","Without decomposition mixed BR/HR/noise remains","Repeated VMD can over-decompose or attenuate signal","mode selection may remove BR context","mode selection may remove true heartbeat","stable BR harmonic can be chosen as HR mode","VMD cannot correct upstream bin hopping","mode boundaries/overlap may alter phase","distance determines selected input","PROJECT_VARIANT"
"process_vital_signs_v3_1_1.py",1800,1944,"Apply optional external RSP harmonic rejection and folding","harmonic handling","HR candidates plus optional scalar RSP","revised HR candidates [BPM]","reject near 2x/3x BR; fold candidate frequencies","Reduce respiratory-harmonic false HR","L6; L10","RSP prior tolerance ±5 bpm; harmonics 2/3","conditional producer path; standard runner lacks acq_path","Conditional branch and standard runner call path inspected","No harmonic check permits stable wrong HR","Repeated rejection/folding can remove true HR or double-correct","can reject BR-related HR candidate but not directly filter BR","may reject true HR near 2x/3x BR","primary risk: stable 2x/3x BR","not a tracker","candidate correction does not restore phase continuity","candidate set inherits range semantics","POTENTIALLY_HARMFUL"
"process_vital_signs_v3_1_1.py",857,1072,"Fuse time/frequency HR estimates and smooth valid windows","HR estimation","HR-band signal [time]","windowed HR time course and missingness","25 s windows; weighted fusion; interpolation/median smoothing","Produce descriptive HR course with QC-aware missingness","L1-L2; agreement is not validation","25 s/5 s; warning 10 bpm; usable >=0.50","producer constants and code","Internal consistency only; no ECG validation here","No fusion yields sparse/noisy estimates","Repeated smoothing can hide instability","windowing can attenuate changing BR leakage","short windows and gating can attenuate transient HR","harmonic can be consistently fused","each window may use different candidate","smoothing cannot repair phase jumps","range gate determines source trace","POTENTIALLY_HARMFUL"
"process_vital_signs_v3_1_1.py",1244,1293,"Detect peaks and retain regularity-scored IBI candidates","beat candidate generation","HR signal [time]","peak indices and adjacent intervals","prominence sweep; IBI bounds; regularity score","Construct beat-like timing candidates","L10-L11","FS=100; IBI 0.5-1.25 s; 0.3-3x reference","producer code","No radar-to-ECG beat matching","No peaks prevents HRV candidate output","regularity filtering can duplicate/retain wrong periodicity","respiration harmonic can be regular and attenuate true BR context","true heartbeat peaks can be rejected","stable wrong harmonic can pass","peak detection does not track range bins","peak times cannot repair phase discontinuity","source trace selected by distance gate","HEURISTIC"
"process_vital_signs_v3_1_1.py",2430,2442,"Gate peaks by usable HR windows and compute SDNN/RMSSD","HRV output","peaks [sample], usable HR mask","IBI, mean IBI, SDNN, RMSSD scalars","adjacent peak differences; time-domain HRV formulas","Produce exploratory HRV-shaped summary","L11; ECG-aligned IBI comparison required",">=4 peaks; IBI 300-2000 ms","producer code and literature ledger","No ECG R-peak alignment or paired IBI validation","Without gating, unusable intervals enter HRV","Repeated gating/interval filtering can bias variability downward","BR contamination can alter peak intervals","harmonic peaks can create false regular IBI","major: wrong harmonic yields plausible HRV","bin switching changes peak timing","no cross-segment beat stitching","range semantics affect selected peak source","POTENTIALLY_HARMFUL"
"scripts/maintenance/build_formal_vital_qc_v1.py; existing manifests",1,1,"Combine coverage, target-lock, linkage, and provenance flags","QC/tiering","session manifests and prior outputs","Tier1=33; Tier2=37; Tier3=2","rule-based eligibility stratification","Describe current pipeline eligibility","L7-L8; validation requires independent reference","corrected 37 mm semantics; 067/099 retained","canonical QC manifests and corrected-distance audit","Existing flags only; no new run","Without explicit tier labels, QC is overstated as validity","combining flags twice can double-count failure","coverage can remove BR candidates","HR window gates can remove HR/HRV candidates","does not detect harmonic truth","distance flags can reflect axis mismatch","phase proxy is not motion proof","tier counts depend on corrected distance semantics","PROJECT_VARIANT"
"analyze_acq_reference.py; validate_gold_anchor.py",95,230,"Align ECG/RSP reference windows and compare outputs","external validation","ECG/RSP plus radar windows","paired reference metrics/agreements for limited sets","timestamp/marker alignment and agreement analysis","Provide construct-validity evidence","L8-L11","reference windows and Unix-time mapping","existing reference reports; no new execution","Existing reference artifacts reviewed","No reference leaves physiology unvalidated","Duplicated alignment or mixed denominators creates false agreement","RSP reference can reveal BR attenuation","ECG reference can reveal HR attenuation","reference can expose harmonic errors","not applicable","alignment gaps can mimic phase discontinuity","range semantics remain radar-side dependency","MATCHED"
