feature_name,modality,source_column,definition,unit,aggregation_rule,window,qc_requirement,missing_semantics,allowed_as_predictor,reason,provenance
rgb_face_score_median,RGB,rgb_face_score_median,median face detector score,score,as emitted or absent in current merge-ready table,"pre_30s=[probe_onset_unix_ms-30000, probe_onset_unix_ms)",current raw-parquet observation; no thresholded QC exclusion frozen,NaN for structural/observation missing or QC_FAIL; state retained separately,False,detector QC only,rgb_probe_merge_ready.csv; current Face/Pose/Motion raw-parquet postprocessing
rgb_multiface_frame_fraction,RGB,rgb_multiface_frame_fraction,fraction of frames with multiple faces,proportion,as emitted or absent in current merge-ready table,"pre_30s=[probe_onset_unix_ms-30000, probe_onset_unix_ms)",current raw-parquet observation; no thresholded QC exclusion frozen,NaN for structural/observation missing or QC_FAIL; state retained separately,False,face QC only,rgb_probe_merge_ready.csv; current Face/Pose/Motion raw-parquet postprocessing
rgb_face_sample_count,RGB,rgb_face_sample_count,face samples in window,count,as emitted or absent in current merge-ready table,"pre_30s=[probe_onset_unix_ms-30000, probe_onset_unix_ms)",current raw-parquet observation; no thresholded QC exclusion frozen,NaN for structural/observation missing or QC_FAIL; state retained separately,False,coverage/QC metadata only,rgb_probe_merge_ready.csv; current Face/Pose/Motion raw-parquet postprocessing
rgb_blink_event_count_candidate,RGB,rgb_blink_event_count_candidate,native probability transition blink candidate count,count,as emitted or absent in current merge-ready table,"pre_30s=[probe_onset_unix_ms-30000, probe_onset_unix_ms)",current raw-parquet observation; no thresholded QC exclusion frozen,NaN for structural/observation missing or QC_FAIL; state retained separately,False,PROVISIONAL_CANDIDATE; threshold/event definition not frozen,rgb_probe_merge_ready.csv; current Face/Pose/Motion raw-parquet postprocessing
rgb_native_eye_blink_mean_median,RGB,rgb_native_eye_blink_mean_median,native eye-blink probability candidate,probability,as emitted or absent in current merge-ready table,"pre_30s=[probe_onset_unix_ms-30000, probe_onset_unix_ms)",current raw-parquet observation; no thresholded QC exclusion frozen,NaN for structural/observation missing or QC_FAIL; state retained separately,False,PROVISIONAL_CANDIDATE; not primary,rgb_probe_merge_ready.csv; current Face/Pose/Motion raw-parquet postprocessing
PERCLOS,RGB,ABSENT,validated PERCLOS feature,proportion,as emitted or absent in current merge-ready table,"pre_30s=[probe_onset_unix_ms-30000, probe_onset_unix_ms)",current raw-parquet observation; no thresholded QC exclusion frozen,NaN for structural/observation missing or QC_FAIL; state retained separately,False,ABSENT / NOT_VALIDATED; never a primary predictor,rgb_probe_merge_ready.csv; current Face/Pose/Motion raw-parquet postprocessing
rgb_head_pose_yaw_pitch_roll,RGB,rgb_head_pose_yaw_pitch_roll,head-pose angles,degrees,as emitted or absent in current merge-ready table,"pre_30s=[probe_onset_unix_ms-30000, probe_onset_unix_ms)",current raw-parquet observation; no thresholded QC exclusion frozen,NaN for structural/observation missing or QC_FAIL; state retained separately,False,not currently aggregated in merge-ready output; do not silently reconstruct,rgb_probe_merge_ready.csv; current Face/Pose/Motion raw-parquet postprocessing
rgb_available,RGB,rgb_available,RGB observation availability flag,boolean,as emitted or absent in current merge-ready table,"pre_30s=[probe_onset_unix_ms-30000, probe_onset_unix_ms)",current raw-parquet observation; no thresholded QC exclusion frozen,NaN for structural/observation missing or QC_FAIL; state retained separately,False,availability indicator; not primary,rgb_probe_merge_ready.csv; current Face/Pose/Motion raw-parquet postprocessing
rgb_observation_status,RGB,rgb_observation_status,RGB observation state from current merge,categorical,as emitted or absent in current merge-ready table,"pre_30s=[probe_onset_unix_ms-30000, probe_onset_unix_ms)",current raw-parquet observation; no thresholded QC exclusion frozen,NaN for structural/observation missing or QC_FAIL; state retained separately,False,missingness state only,rgb_probe_merge_ready.csv; current Face/Pose/Motion raw-parquet postprocessing
rgb_source_path,RGB,rgb_source_path,local RGB provenance path,path,as emitted or absent in current merge-ready table,"pre_30s=[probe_onset_unix_ms-30000, probe_onset_unix_ms)",current raw-parquet observation; no thresholded QC exclusion frozen,NaN for structural/observation missing or QC_FAIL; state retained separately,False,provenance only,rgb_probe_merge_ready.csv; current Face/Pose/Motion raw-parquet postprocessing
