analysis_id,中文名称,scientific_question,report_role,exact_local_inputs,upstream_asset_RUN_ID,exact_executable_script,config_files,software_environment,package_model_versions_hashes,sample_unit,cohort_rule,identity_grouping_key,site_protocol_scope,label_definition,time_window_definition,feature_set,QC_rule,statistical_model,repeated_measures_handling,CV_folds,imputation_scaling_leakage_control,bootstrap_CI,multiple_comparison_correction,random_seed,exact_output_root,output_file_list,output_schema_columns_summary,headline_results,result_interpretation,forbidden_over_interpretation,branch_commit,status,superseded_by,another_disk_reproduce,wait_for_global_merged_data
REPEAT_EFFECTS,Repeat-session/practice effects,见对应 method card Purpose,report covariate,见 local manifest and inventory,,scripts/analyze_formal_cross_subject.py,UNRESOLVED_OR_NOT_APPLICABLE,见 SOFTWARE_ENVIRONMENT_MATRIX_V1.md,UNRESOLVED unless manifest records,session/probe,repeat sessions,,,registry/contract; verify manifest,"explicit in manifest; common default [probe_onset-window, probe_onset)",见 output schema/local report,pass/uncertain/reject; see manifest,not executed or see local report,participant grouping by repeat_participant_id,participant-disjoint when model-based; otherwise N/A,training-fold only when applicable,see local report; UNRESOLVED if absent,see local report; BH where declared,UNRESOLVED unless manifest records,D:/Project/厚粲杯/11_数据/derived/report_repeat_session_effects_v1,see local manifest,see CSV header probe/local manifest,see local report; no number inferred,bounded by status and report role,do not promote engineering/diagnostic output to final scientific claim,historical/source manifest; canonical review 6cb430c,VALID_SUPPORTING,NONE_RECORDED,yes,no
Q1_QUESTIONNAIRE,Questionnaire criterion validity Q1,见对应 method card Purpose,questionnaire,见 local manifest and inventory,,scripts/evaluate_mmwave_behavior_criterion.py,UNRESOLVED_OR_NOT_APPLICABLE,见 SOFTWARE_ENVIRONMENT_MATRIX_V1.md,UNRESOLVED unless manifest records,participant/session,valid questionnaire rows,,,registry/contract; verify manifest,"explicit in manifest; common default [probe_onset-window, probe_onset)",见 output schema/local report,pass/uncertain/reject; see manifest,not executed or see local report,participant grouping by repeat_participant_id,participant-disjoint when model-based; otherwise N/A,training-fold only when applicable,see local report; UNRESOLVED if absent,see local report; BH where declared,UNRESOLVED unless manifest records,D:/Project/厚粲杯/11_数据/derived/questionnaire_criterion_validity_v1,see local manifest,see CSV header probe/local manifest,see local report; no number inferred,bounded by status and report role,do not promote engineering/diagnostic output to final scientific claim,historical/source manifest; canonical review 6cb430c,VALID_SUPPORTING,NONE_RECORDED,yes,no
BEHAVIOR_BASELINE,Behavior/context baseline V1 and 1400-probe rerun,见对应 method card Purpose,baseline,见 local manifest and inventory,,scripts/audit_behavior_outcomes.py,UNRESOLVED_OR_NOT_APPLICABLE,见 SOFTWARE_ENVIRONMENT_MATRIX_V1.md,UNRESOLVED unless manifest records,probe,72 sessions/1400 probes,,,registry/contract; verify manifest,"explicit in manifest; common default [probe_onset-window, probe_onset)",见 output schema/local report,pass/uncertain/reject; see manifest,not executed or see local report,participant grouping by repeat_participant_id,participant-disjoint when model-based; otherwise N/A,training-fold only when applicable,see local report; UNRESOLVED if absent,see local report; BH where declared,UNRESOLVED unless manifest records,D:/Project/厚粲杯/11_数据/derived/final_behavior_context_baseline_v1,see local manifest,see CSV header probe/local manifest,see local report; no number inferred,bounded by status and report role,do not promote engineering/diagnostic output to final scientific claim,historical/source manifest; canonical review 6cb430c,VALID_SUPPORTING,NONE_RECORDED,yes,no
EARLY_INCREMENT,Early sensor increment baseline,见对应 method card Purpose,increment,见 local manifest and inventory,,scripts/run_beijing_sensor_increment_v1.py,UNRESOLVED_OR_NOT_APPLICABLE,见 SOFTWARE_ENVIRONMENT_MATRIX_V1.md,UNRESOLVED unless manifest records,probe,common probe only,,,registry/contract; verify manifest,"explicit in manifest; common default [probe_onset-window, probe_onset)",见 output schema/local report,pass/uncertain/reject; see manifest,not executed or see local report,participant grouping by repeat_participant_id,participant-disjoint when model-based; otherwise N/A,training-fold only when applicable,see local report; UNRESOLVED if absent,see local report; BH where declared,UNRESOLVED unless manifest records,D:/Project/厚粲杯/11_数据/derived/beijing_sensor_increment_v1,see local manifest,see CSV header probe/local manifest,see local report; no number inferred,bounded by status and report role,do not promote engineering/diagnostic output to final scientific claim,historical/source manifest; canonical review 6cb430c,PENDING_CANONICAL_RERUN,NONE_RECORDED,yes,no
C1_ALIGNMENT,C1 alignment/beat/IBI/HRV validation,见对应 method card Purpose,validation,见 local manifest and inventory,,scripts/validate_gold_anchor.py,UNRESOLVED_OR_NOT_APPLICABLE,见 SOFTWARE_ENVIRONMENT_MATRIX_V1.md,UNRESOLVED unless manifest records,beat/window,external RS6240 paired subset,,,registry/contract; verify manifest,"explicit in manifest; common default [probe_onset-window, probe_onset)",见 output schema/local report,pass/uncertain/reject; see manifest,not executed or see local report,participant grouping by repeat_participant_id,participant-disjoint when model-based; otherwise N/A,training-fold only when applicable,see local report; UNRESOLVED if absent,see local report; BH where declared,UNRESOLVED unless manifest records,D:/Project/厚粲杯/11_数据/derived/c1_alignment_protocol_repair_v1,see local manifest,see CSV header probe/local manifest,see local report; no number inferred,bounded by status and report role,do not promote engineering/diagnostic output to final scientific claim,historical/source manifest; canonical review 6cb430c,BLOCKED_EXTERNAL_STORAGE,NONE_RECORDED,no,no
C2B_V2,C2b-v2 canonical mmWave absolute features,见对应 method card Purpose,mmWave baseline,见 local manifest and inventory,,UNRESOLVED_MISSING_ENTRYPOINT: run_c2b_v2_canonical_reconstruction.py,UNRESOLVED_OR_NOT_APPLICABLE,见 SOFTWARE_ENVIRONMENT_MATRIX_V1.md,UNRESOLVED unless manifest records,probe,frozen 72 session/1440 probe,,,registry/contract; verify manifest,"explicit in manifest; common default [probe_onset-window, probe_onset)",见 output schema/local report,pass/uncertain/reject; see manifest,not executed or see local report,participant grouping by repeat_participant_id,participant-disjoint when model-based; otherwise N/A,training-fold only when applicable,see local report; UNRESOLVED if absent,see local report; BH where declared,UNRESOLVED unless manifest records,D:/Project/厚粲杯/11_数据/derived/c2b_v2_canonical_baselines_20260826,see local manifest,see CSV header probe/local manifest,see local report; no number inferred,bounded by status and report role,do not promote engineering/diagnostic output to final scientific claim,historical/source manifest; canonical review 6cb430c,VALID_SUPPORTING,NONE_RECORDED,yes,no
C2C,C2C resting calibration,见对应 method card Purpose,normalization,见 local manifest and inventory,,UNRESOLVED_MISSING_ENTRYPOINT: run_c2c_within_subject_normalization.py,UNRESOLVED_OR_NOT_APPLICABLE,见 SOFTWARE_ENVIRONMENT_MATRIX_V1.md,UNRESOLVED unless manifest records,probe,within-subject eligible,,,registry/contract; verify manifest,"explicit in manifest; common default [probe_onset-window, probe_onset)",见 output schema/local report,pass/uncertain/reject; see manifest,not executed or see local report,participant grouping by repeat_participant_id,participant-disjoint when model-based; otherwise N/A,training-fold only when applicable,see local report; UNRESOLVED if absent,see local report; BH where declared,UNRESOLVED unless manifest records,D:/Project/厚粲杯/11_数据/derived/c2c_within_subject_normalization_v1,see local manifest,see CSV header probe/local manifest,see local report; no number inferred,bounded by status and report role,do not promote engineering/diagnostic output to final scientific claim,historical/source manifest; canonical review 6cb430c,PENDING_CANONICAL_RERUN,NONE_RECORDED,no,no
M1,M1 person-effect audit,见对应 method card Purpose,mmWave limitation,见 local manifest and inventory,,scripts/build_evaluate_j_mmwave_m1_loso.py,UNRESOLVED_OR_NOT_APPLICABLE,见 SOFTWARE_ENVIRONMENT_MATRIX_V1.md,UNRESOLVED unless manifest records,probe,participant-disjoint,,,registry/contract; verify manifest,"explicit in manifest; common default [probe_onset-window, probe_onset)",见 output schema/local report,pass/uncertain/reject; see manifest,not executed or see local report,participant grouping by repeat_participant_id,participant-disjoint when model-based; otherwise N/A,training-fold only when applicable,see local report; UNRESOLVED if absent,see local report; BH where declared,UNRESOLVED unless manifest records,D:/Project/厚粲杯/11_数据/derived/m1_mmwave_person_effect_variance_audit_v1,see local manifest,see CSV header probe/local manifest,see local report; no number inferred,bounded by status and report role,do not promote engineering/diagnostic output to final scientific claim,historical/source manifest; canonical review 6cb430c,VALID_SUPPORTING,NONE_RECORDED,yes,no
C3A_V1,NIR C3A v1,见对应 method card Purpose,NIR engineering,见 local manifest and inventory,,external NIR runner,UNRESOLVED_OR_NOT_APPLICABLE,见 SOFTWARE_ENVIRONMENT_MATRIX_V1.md,UNRESOLVED unless manifest records,probe,session-aligned availability,,,registry/contract; verify manifest,"explicit in manifest; common default [probe_onset-window, probe_onset)",见 output schema/local report,pass/uncertain/reject; see manifest,not executed or see local report,participant grouping by repeat_participant_id,participant-disjoint when model-based; otherwise N/A,training-fold only when applicable,see local report; UNRESOLVED if absent,see local report; BH where declared,UNRESOLVED unless manifest records,D:/Project/厚粲杯/11_数据/derived/c3_nir_qc_integration_v1,see local manifest,see CSV header probe/local manifest,see local report; no number inferred,bounded by status and report role,do not promote engineering/diagnostic output to final scientific claim,historical/source manifest; canonical review 6cb430c,ENGINEERING_ONLY,NONE_RECORDED,no,no
C3A_V2,NIR C3A v2,见对应 method card Purpose,NIR increment,见 local manifest and inventory,,external NIR runner,UNRESOLVED_OR_NOT_APPLICABLE,见 SOFTWARE_ENVIRONMENT_MATRIX_V1.md,UNRESOLVED unless manifest records,probe,quality-tiered availability,,,registry/contract; verify manifest,"explicit in manifest; common default [probe_onset-window, probe_onset)",见 output schema/local report,pass/uncertain/reject; see manifest,not executed or see local report,participant grouping by repeat_participant_id,participant-disjoint when model-based; otherwise N/A,training-fold only when applicable,see local report; UNRESOLVED if absent,see local report; BH where declared,UNRESOLVED unless manifest records,D:/Project/厚粲杯/11_数据/derived/c3a_formal_nir_full_available_results_v2,see local manifest,see CSV header probe/local manifest,see local report; no number inferred,bounded by status and report role,do not promote engineering/diagnostic output to final scientific claim,historical/source manifest; canonical review 6cb430c,ENGINEERING_ONLY,NONE_RECORDED,no,no
NIR_69,NIR 69-session fullclass engineering,见对应 method card Purpose,engineering,见 local manifest and inventory,,NIR batch runner,UNRESOLVED_OR_NOT_APPLICABLE,见 SOFTWARE_ENVIRONMENT_MATRIX_V1.md,UNRESOLVED unless manifest records,probe,available fullclass sessions,,,registry/contract; verify manifest,"explicit in manifest; common default [probe_onset-window, probe_onset)",见 output schema/local report,pass/uncertain/reject; see manifest,not executed or see local report,participant grouping by repeat_participant_id,participant-disjoint when model-based; otherwise N/A,training-fold only when applicable,see local report; UNRESOLVED if absent,see local report; BH where declared,UNRESOLVED unless manifest records,D:/Project/厚粲杯/11_数据/derived/nir_69session_final_probe_analysis_v1,see local manifest,see CSV header probe/local manifest,see local report; no number inferred,bounded by status and report role,do not promote engineering/diagnostic output to final scientific claim,historical/source manifest; canonical review 6cb430c,ENGINEERING_ONLY,NONE_RECORDED,no,no
RGB_MOTION,RGB Motion,见对应 method card Purpose,RGB QC,见 local manifest and inventory,,scripts/evaluate_raw_motion_features.py,UNRESOLVED_OR_NOT_APPLICABLE,见 SOFTWARE_ENVIRONMENT_MATRIX_V1.md,UNRESOLVED unless manifest records,frame/probe,available RGB sessions,,,registry/contract; verify manifest,"explicit in manifest; common default [probe_onset-window, probe_onset)",见 output schema/local report,pass/uncertain/reject; see manifest,not executed or see local report,participant grouping by repeat_participant_id,participant-disjoint when model-based; otherwise N/A,training-fold only when applicable,see local report; UNRESOLVED if absent,see local report; BH where declared,UNRESOLVED unless manifest records,D:/Project/厚粲杯/11_数据/derived/current_j_rgb_motion_gate_v1,see local manifest,see CSV header probe/local manifest,see local report; no number inferred,bounded by status and report role,do not promote engineering/diagnostic output to final scientific claim,historical/source manifest; canonical review 6cb430c,ENGINEERING_ONLY,NONE_RECORDED,no,no
RGB_POSE,RGB Pose,见对应 method card Purpose,RGB engineering,见 local manifest and inventory,,external RGB runner,UNRESOLVED_OR_NOT_APPLICABLE,见 SOFTWARE_ENVIRONMENT_MATRIX_V1.md,UNRESOLVED unless manifest records,frame,available videos,,,registry/contract; verify manifest,"explicit in manifest; common default [probe_onset-window, probe_onset)",见 output schema/local report,pass/uncertain/reject; see manifest,not executed or see local report,participant grouping by repeat_participant_id,participant-disjoint when model-based; otherwise N/A,training-fold only when applicable,see local report; UNRESOLVED if absent,see local report; BH where declared,UNRESOLVED unless manifest records,D:/Project/厚粲杯/11_数据/04_Attention-Analysis_nvidia-cuda_RGB,see local manifest,see CSV header probe/local manifest,see local report; no number inferred,bounded by status and report role,do not promote engineering/diagnostic output to final scientific claim,historical/source manifest; canonical review 6cb430c,ENGINEERING_ONLY,NONE_RECORDED,no,no
RGB_FACE,RGB Face benchmark/CUDA gate/formal runner,见对应 method card Purpose,RGB engineering,见 local manifest and inventory,,external RGB runner,UNRESOLVED_OR_NOT_APPLICABLE,见 SOFTWARE_ENVIRONMENT_MATRIX_V1.md,UNRESOLVED unless manifest records,frame,available videos,,,registry/contract; verify manifest,"explicit in manifest; common default [probe_onset-window, probe_onset)",见 output schema/local report,pass/uncertain/reject; see manifest,not executed or see local report,participant grouping by repeat_participant_id,participant-disjoint when model-based; otherwise N/A,training-fold only when applicable,see local report; UNRESOLVED if absent,see local report; BH where declared,UNRESOLVED unless manifest records,D:/Project/厚粲杯/11_数据/04_Attention-Analysis_nvidia-cuda_RGB,see local manifest,see CSV header probe/local manifest,see local report; no number inferred,bounded by status and report role,do not promote engineering/diagnostic output to final scientific claim,historical/source manifest; canonical review 6cb430c,ENGINEERING_ONLY,NONE_RECORDED,no,no
D1_HARMONIZATION,Beijing-Zhuhai D1 harmonization,见对应 method card Purpose,cross-site contract,见 local manifest and inventory,,scripts/audit_crossmodal_time_gate.py,UNRESOLVED_OR_NOT_APPLICABLE,见 SOFTWARE_ENVIRONMENT_MATRIX_V1.md,UNRESOLVED unless manifest records,session/probe,Beijing B1+B2 primary; Zhuhai B3 extension,,,registry/contract; verify manifest,"explicit in manifest; common default [probe_onset-window, probe_onset)",见 output schema/local report,pass/uncertain/reject; see manifest,not executed or see local report,participant grouping by repeat_participant_id,participant-disjoint when model-based; otherwise N/A,training-fold only when applicable,see local report; UNRESOLVED if absent,see local report; BH where declared,UNRESOLVED unless manifest records,D:/Project/厚粲杯/11_数据/derived/beijing_zhuhai_canonical_harmonization_v1,see local manifest,see CSV header probe/local manifest,see local report; no number inferred,bounded by status and report role,do not promote engineering/diagnostic output to final scientific claim,historical/source manifest; canonical review 6cb430c,VALID_SUPPORTING,NONE_RECORDED,yes,no
NIR_INCREMENT,Final NIR increment,见对应 method card Purpose,final multimodal,见 local manifest and inventory,,not yet stable,UNRESOLVED_OR_NOT_APPLICABLE,见 SOFTWARE_ENVIRONMENT_MATRIX_V1.md,UNRESOLVED unless manifest records,probe,global matched cohort,,,registry/contract; verify manifest,"explicit in manifest; common default [probe_onset-window, probe_onset)",见 output schema/local report,pass/uncertain/reject; see manifest,not executed or see local report,participant grouping by repeat_participant_id,participant-disjoint when model-based; otherwise N/A,training-fold only when applicable,see local report; UNRESOLVED if absent,see local report; BH where declared,UNRESOLVED unless manifest records,D:/Project/厚粲杯/11_数据/derived/c3_multimodal_readiness_v1,see local manifest,see CSV header probe/local manifest,see local report; no number inferred,bounded by status and report role,do not promote engineering/diagnostic output to final scientific claim,historical/source manifest; canonical review 6cb430c,PLANNED_GLOBAL_ONLY,NONE_RECORDED,yes,yes
RGB_INCREMENT,Final RGB increment,见对应 method card Purpose,final multimodal,见 local manifest and inventory,,not yet stable,UNRESOLVED_OR_NOT_APPLICABLE,见 SOFTWARE_ENVIRONMENT_MATRIX_V1.md,UNRESOLVED unless manifest records,probe,global matched cohort,,,registry/contract; verify manifest,"explicit in manifest; common default [probe_onset-window, probe_onset)",见 output schema/local report,pass/uncertain/reject; see manifest,not executed or see local report,participant grouping by repeat_participant_id,participant-disjoint when model-based; otherwise N/A,training-fold only when applicable,see local report; UNRESOLVED if absent,see local report; BH where declared,UNRESOLVED unless manifest records,D:/Project/厚粲杯/11_数据/derived/c3_multimodal_readiness_v1,see local manifest,see CSV header probe/local manifest,see local report; no number inferred,bounded by status and report role,do not promote engineering/diagnostic output to final scientific claim,historical/source manifest; canonical review 6cb430c,PLANNED_GLOBAL_ONLY,NONE_RECORDED,yes,yes
MULTIMODAL_FUSION,Multimodal fusion,见对应 method card Purpose,final model,见 local manifest and inventory,,not yet stable,UNRESOLVED_OR_NOT_APPLICABLE,见 SOFTWARE_ENVIRONMENT_MATRIX_V1.md,UNRESOLVED unless manifest records,probe,participant-disjoint matched cohort,,,registry/contract; verify manifest,"explicit in manifest; common default [probe_onset-window, probe_onset)",见 output schema/local report,pass/uncertain/reject; see manifest,not executed or see local report,participant grouping by repeat_participant_id,participant-disjoint when model-based; otherwise N/A,training-fold only when applicable,see local report; UNRESOLVED if absent,see local report; BH where declared,UNRESOLVED unless manifest records,D:/Project/厚粲杯/11_数据/derived/c3_multimodal_readiness_v1,see local manifest,see CSV header probe/local manifest,see local report; no number inferred,bounded by status and report role,do not promote engineering/diagnostic output to final scientific claim,historical/source manifest; canonical review 6cb430c,PLANNED_GLOBAL_ONLY,NONE_RECORDED,yes,yes
CROSS_SITE,Cross-site validation,见对应 method card Purpose,external validation,见 local manifest and inventory,,not yet stable,UNRESOLVED_OR_NOT_APPLICABLE,见 SOFTWARE_ENVIRONMENT_MATRIX_V1.md,UNRESOLVED unless manifest records,probe,predeclared site-held-out,,,registry/contract; verify manifest,"explicit in manifest; common default [probe_onset-window, probe_onset)",见 output schema/local report,pass/uncertain/reject; see manifest,not executed or see local report,participant grouping by repeat_participant_id,participant-disjoint when model-based; otherwise N/A,training-fold only when applicable,see local report; UNRESOLVED if absent,see local report; BH where declared,UNRESOLVED unless manifest records,D:/Project/厚粲杯/11_数据/derived/beijing_zhuhai_canonical_harmonization_v1,see local manifest,see CSV header probe/local manifest,see local report; no number inferred,bounded by status and report role,do not promote engineering/diagnostic output to final scientific claim,historical/source manifest; canonical review 6cb430c,PLANNED_GLOBAL_ONLY,NONE_RECORDED,yes,yes
